,bonus,worker_id,assignment_id,wid
1,0.89,A26LOVXF4QZZCO,37ZHEEHM6XTQDATZENLDD7C4CEC376,w3061825
4,0.67,A2O7LNRIBPIHAF,3WETL7AQWUFBQ6FGQU6GFNY8L8H35R,w885a965
9,0.7599999999999999,A3L7IWDL0R3KU9,3WMOAN2SRC4ZS4N5E488SZQD3D9VN5,w70f0a1f
12,0,ASL9UNVWVM9AW,31EUONYN2WAHAPNHFJ8L7OQITNEVOK,wb0a3e86
17,0.54,A7204W9E8IR1R,33C7UALJVM5Y3LK31OZ03ET2PE4816,w6734e7f
20,0.9650000000000001,A26TKC3Q2KBWML,3GLB5JMZFY27OV6X0FVJWTB92UUGDU,wd2be5cc
26,0.9650000000000001,A1G7GSCKWC9UBC,34S9DKFK74WGWYIAJFVSZYU7LUOYNU,w69fd8e2
29,0.92,A17D42WYI0ITRA,3I02618YA1DZIAAIPTBV02TPPNAUPO,wab113fc
32,0.6849999999999999,A37E2SOKV6I0VZ,31HQ4X3T3THTCC3G8WNO4K2HZH0SLM,w7bd80a8
35,0.695,A171UXH8M8F6HS,3MX2NQ3YCA1N64MUAJD4M3NCS3I5XT,w64b7f20
