,wid,bonus
0,w00168c9,0.7400000000000001
3,we28f1a2,0.525
6,w6ac09ac,0
9,w9c4dab0,0
12,w713a953,0.945
15,w92c39c2,0.72
18,wf2b59d9,1.0450000000000002
23,w96597c3,0
26,w6b73eee,0.78
29,wab647db,0.9
32,wa986c2f,0
35,wfcf6b45,1.015
38,w3c5887b,0.865
41,wbdbab56,0.87
44,wcc28e6a,0
47,we8ac665,0.9349999999999999
50,w3704c5d,0.545
53,wcf60691,1.05
56,w793aa8b,0.8250000000000001
59,we265ab4,0
62,w920bd45,0
65,w400fe41,0
68,w49f0fbb,0.615
71,w55bb214,0
74,w05b31b5,0
77,w14e5729,0
80,weaa23c6,1.025
85,wda0a3ae,0
88,wf3f21b4,0
91,w5982241,0.6849999999999999
96,w6675334,0.89
99,w1051396,0.89
102,w0ed7a44,0.9600000000000001
107,w539d0e8,0
110,w69edba1,0
113,wf254462,0.76
116,w2e29dc3,0.7
119,w18223ed,0.8550000000000001
122,wcca3bab,0.845
125,wc98fbd3,0
128,wfdc6193,0
131,w4166b3f,0
134,wbe5ee53,0.8800000000000001
137,wd8a04d8,0.62
140,wf343bd7,1.0199999999999998
143,w45f8228,0.925
148,wf5bd86c,0.9299999999999999
151,w2e4b0af,0
154,we4a0abc,0
157,w989965b,0.76
160,wb8e42d0,0
163,w8d3b50b,0
166,w53cd853,1.0350000000000001
169,wb2dd12a,0.85
174,wdbe4661,0
177,wd455bc0,0
182,wb0737e0,0.8200000000000001
185,w6106192,0
190,wd3138e8,0.565
193,w8935a2b,0
